Nodo,CODIGO COMPLETO,Poblacion total,Poblacion de 0 a 14 anos,Poblacion de 60 anos y mas,Poblacion femenina de 15 a 49 anos,Poblacion con discapacidad,Poblacion no vulnerable,Columna1,Longitud,Latitud,Demanda
133,1903600010135022,1,0,0,0,0,1,"-100.119775446497542, 23.418829265742158",-100.119775446497,23.4188292657421,1
134,1903600010135023,0,0,0,0,0,0,"-100.118852766594230, 23.418671745039227",-100.118852766594,23.4186717450392,0
135,1903600010135024,16,3,0,5,0,8,"-100.117951544370854, 23.418474843895570",-100.11795154437,23.4184748438955,4
136,1903600010135025,0,0,0,0,0,0,"-100.120783957084498, 23.418061350541066",-100.120783957084,23.418061350541,0
137,1903600010135026,6,0,0,0,0,6,"-100.119925650202930, 23.417923519135950",-100.119925650202,23.4179235191359,2
138,1903600010135027,0,0,0,0,0,0,"-100.118960054957810, 23.417765997353680",-100.118960054957,23.4177659973536,0
139,1903600010135028,0,0,0,0,0,0,"-100.118037375054513, 23.417608475384661",-100.118037375054,23.4176084753846,0
140,1903600010135029,0,0,0,0,0,0,"-100.121105822166200, 23.416249840611872",-100.121105822166,23.4162498406118,0
141,1903600010135030,0,0,0,0,0,0,"-100.120741041742662, 23.417096527687953",-100.120741041742,23.4170965276879,0
142,1903600010135031,0,0,0,0,0,0,"-100.118960054957810, 23.416761791584221",-100.118960054957,23.4167617915842,0
143,1903600010135033,0,0,0,0,0,0,"-100.120140226921080, 23.416092316836767",-100.120140226921,23.4160923168367,0
145,1903600010417001,2,0,0,0,0,2,"-100.116314184347900, 23.430693913710254",-100.116314184347,23.4306939137102,1
146,1903600010417002,0,0,0,0,0,0,"-100.115262758410140, 23.431205808772575",-100.11526275841,23.4312058087725,0
147,1903600010417003,0,0,0,0,0,0,"-100.114597570575796, 23.430024509483065",-100.114597570575,23.430024509483,0
148,1903600010417004,0,0,0,0,0,0,"-100.115284216090018, 23.430516718803638",-100.11528421609,23.4305167188036,0
150,1903600010421001,2,0,0,0,0,2,"-100.116872083818677, 23.431501131945719",-100.116872083818,23.4315011319457,1
151,1903600010421002,0,0,0,0,0,0,"-100.116035234608034, 23.431422379164310",-100.116035234608,23.4314223791643,0
152,1903600010421003,0,0,0,0,0,0,"-100.117022287524065, 23.430871108379399",-100.117022287524,23.4308711083793,0
154,1903600010436001,0,0,0,0,0,0,"-100.122715147574766, 23.418396083356523",-100.122715147574,23.4183960833565,0
155,1903600010436002,0,0,0,0,0,0,"-100.122886808960061, 23.416958695277600",-100.12288680896,23.4169586952776,0
157,1903600010440001,4,0,0,0,0,4,"-100.117022287524065, 23.432367409448048",-100.117022287524,23.432367409448,1
158,1903600010440002,5,0,0,0,0,5,"-100.115906488573543, 23.432229592952694",-100.115906488573,23.4322295929526,1
159,1903600010440003,0,0,0,0,0,0,"-100.115112554713704, 23.432150840604429",-100.115112554713,23.4321508406044,0
161,1903600010455001,0,0,0,0,0,0,"-100.124646338065006, 23.423239769281679",-100.124646338065,23.4232397692816,0
162,1903600010455002,0,0,0,0,0,0,"-100.124753626428571, 23.422432500612505",-100.124753626428,23.4224325006125,0
163,1903600010455003,3,0,0,0,0,3,"-100.125569017968303, 23.421703985631542",-100.125569017968,23.4217039856315,1
164,1903600010455004,0,0,0,0,0,0,"-100.124753626428571, 23.421625227015202",-100.124753626428,23.4216252270152,0
165,1903600010455005,6,0,0,0,0,6,"-100.125719221673691, 23.420857328045550",-100.125719221673,23.4208573280455,2
166,1903600010455006,2,0,0,0,0,2,"-100.124903830133960, 23.420758879137004",-100.124903830133,23.420758879137,1
167,1903600010455007,4,0,0,0,0,4,"-100.124217184628705, 23.420660430155994",-100.124217184628,23.4206604301559,1
168,1903600010455008,4,0,0,0,0,4,"-100.126041086755421, 23.419892525584359",-100.126041086755,23.4198925255843,1
169,1903600010455009,0,0,0,0,0,0,"-100.125096949181213, 23.419912215501384",-100.125096949181,23.4199122155013,0
170,1903600010455010,0,0,0,0,0,0,"-100.124367388334122, 23.419656246357999",-100.124367388334,23.4196562463579,0
171,1903600010455011,0,0,0,0,0,0,"-100.126513155542497, 23.418967096204380",-100.126513155542,23.4189670962043,0
172,1903600010455012,0,0,0,0,0,0,"-100.125418814262900, 23.418789885584410",-100.125418814262,23.4187898855844,0
173,1903600010455013,0,0,0,0,0,0,"-100.124560507381346, 23.418711125232139",-100.124560507381,23.4187111252321,0
174,1903600010455014,0,0,0,0,0,0,"-100.123573454465316, 23.418553604388539",-100.123573454465,23.4185536043885,0
